id,name,page,image_url,status,content_type,width,height,flag
adobe-acrobat-standard,Adobe Acrobat Standard,products/adobe-acrobat-standard.html,https://images-na.ssl-images-amazon.com/images/P/B0D4C9NZDY.01._SCLZZZZZZZ_.jpg,200,image/jpeg,500,500,OK
amazon-echo-dot-5th-gen,Amazon Echo Dot 5th Gen,products/amazon-echo-dot-5th-gen.html,https://images-na.ssl-images-amazon.com/images/P/B09B8V1LZ3.01._SCLZZZZZZZ_.jpg,200,image/jpeg,313,500,OK
amazon-echo-pop,Amazon Echo Pop,products/amazon-echo-pop.html,https://images-na.ssl-images-amazon.com/images/P/B09WNK39JN.01._SCLZZZZZZZ_.jpg,200,image/jpeg,500,500,OK
amazon-echo-show-8-3rd-gen,"Amazon Echo Show 8 (3rd Gen, 2023)",products/amazon-echo-show-8-3rd-gen.html,https://images-na.ssl-images-amazon.com/images/P/B0BLS3Y632.01._AC_SX500_.jpg,200,image/jpeg,160,121,OK
anker-soundcore-space-q45,Anker Soundcore Space Q45,products/anker-soundcore-space-q45.html,https://images-na.ssl-images-amazon.com/images/P/B0B5VHRX7F.01._SCLZZZZZZZ_.jpg,200,image/jpeg,500,500,OK
apple-airpods-max-usb-c,Apple AirPods Max Wireless Over-Ear Headphones with USB-C Charging,products/apple-airpods-max-usb-c.html,https://images-na.ssl-images-amazon.com/images/P/B0DGJC52FP.01._AC_SX500_.jpg,200,image/jpeg,116,128,OK
apple-airpods-pro-2nd-gen,Apple AirPods Pro (2nd Generation) with USB-C,products/apple-airpods-pro-2nd-gen.html,https://images-na.ssl-images-amazon.com/images/P/B0CHWRXH8B.01._AC_SX500_.jpg,200,image/jpeg,100,125,OK
apple-airtag-dog-collar-holder,Apple AirTag Dog Collar Holder,products/apple-airtag-dog-collar-holder.html,https://m.media-amazon.com/images/I/71YJQc90XRL._AC_SX500_.jpg,200,image/jpeg,500,488,OK
apple-tv-4k-3rd-gen,"Apple TV 4K (3rd Generation, 2022)",products/apple-tv-4k-3rd-gen.html,https://m.media-amazon.com/images/I/61HGvrbamzL._AC_SX500_.jpg,200,image/jpeg,500,339,OK
arlo-essential-video-doorbell-wire-free,Arlo Essential Video Doorbell Wire-Free,products/arlo-essential-video-doorbell-wire-free.html,https://images-na.ssl-images-amazon.com/images/P/B0DNTZN481.01._SCLZZZZZZZ_.jpg,200,image/jpeg,500,500,OK
audeze-maxwell,Audeze Maxwell Wireless,products/audeze-maxwell.html,https://m.media-amazon.com/images/I/51iE7XD13NL._AC_SX500_.jpg,200,image/jpeg,500,612,OK
bedsure-orthopedic-dog-bed,Bedsure Orthopedic Dog Bed,products/bedsure-orthopedic-dog-bed.html,https://m.media-amazon.com/images/I/816enU18xfL._AC_SX500_.jpg,200,image/jpeg,500,500,OK
big-agnes-copper-spur-hv-ul2,Big Agnes Copper Spur HV UL2,products/big-agnes-copper-spur-hv-ul2.html,https://m.media-amazon.com/images/I/711Q9J-+XkL._AC_SX500_.jpg,200,image/jpeg,500,291,OK
biolite-campstove-2,BioLite CampStove 2+,products/biolite-campstove-2.html,https://m.media-amazon.com/images/I/613BdK6MWGL._AC_SX500_.jpg,200,image/jpeg,500,477,OK
