"Slug","PageExists","AffiliateOk","AffiliateTag","ImageStatus","ImageDrift","Flags","Notes"
"adobe-acrobat-standard","PASS","PASS","amzn.to (opaque)","200","MATCH","CLEAN",""
"amazon-echo-dot-5th-gen","PASS","PASS","amzn.to (opaque)","200","MATCH","CLEAN",""
"amazon-echo-pop","PASS","PASS","amzn.to (opaque)","200","MATCH","CLEAN",""
"anker-soundcore-space-q45","PASS","PASS","amzn.to (opaque)","200","MATCH","CLEAN",""
"apple-airtag-dog-collar-holder","PASS","PASS","amzn.to (opaque)","200","MATCH","CLEAN",""
"arlo-essential-video-doorbell-wire-free","PASS","PASS","amzn.to (opaque)","200","MATCH","CLEAN",""
"audeze-maxwell","PASS","PASS","amzn.to (opaque)","200","MATCH","CLEAN",""
"bedsure-orthopedic-dog-bed","PASS","PASS","amzn.to (opaque)","200","MATCH","CLEAN",""
"big-agnes-copper-spur-hv-ul2","PASS","PASS","amzn.to (opaque)","200","MATCH","CLEAN",""
"biolite-campstove-2","PASS","PASS","amzn.to (opaque)","200","MATCH","CLEAN",""
"bitdefender-total-security","PASS","PASS","amzn.to (opaque)","200","MATCH","CLEAN",""
"black-decker-4-slice-toaster-oven","PASS","PASS","amzn.to (opaque)","200","MATCH","CLEAN",""
"blink-video-doorbell","PASS","PASS","amzn.to (opaque)","200","MATCH","CLEAN",""
"bose-quietcomfort","PASS","PASS","amzn.to (opaque)","200","MATCH","CLEAN",""
"bose-quietcomfort-ultra","PASS","PASS","amzn.to (opaque)","200","MATCH","CLEAN",""
"bowflex-selecttech-552","PASS","PASS","amzn.to (opaque)","200","MATCH","CLEAN",""
"breville-bambino-plus","PASS","PASS","amzn.to (opaque)","200","MATCH","CLEAN",""
"breville-barista-express","PASS","PASS","amzn.to (opaque)","200","MATCH","CLEAN",""
"breville-barista-pro","PASS","PASS","amzn.to (opaque)","200","MATCH","CLEAN",""
"breville-compact-smart-oven","PASS","PASS","amzn.to (opaque)","200","MATCH","CLEAN",""
"breville-fast-slow-pro","PASS","PASS","amzn.to (opaque)","200","MATCH","CLEAN",""
"breville-smart-oven-air-fryer-compact","PASS","PASS","amzn.to (opaque)","200","MATCH","CLEAN",""
"breville-smart-oven-pro","PASS","PASS","amzn.to (opaque)","200","MATCH","CLEAN",""
"brs-3000t-titanium-stove","PASS","PASS","amzn.to (opaque)","200","MATCH","CLEAN",""
"cat-mate-c500","PASS","PASS","amzn.to (opaque)","200","MATCH","CLEAN",""
"coleman-north-rim-mummy-bag","PASS","PASS","amzn.to (opaque)","200","MATCH","CLEAN",""
"coleman-skydome-2-person","PASS","PASS","amzn.to (opaque)","200","MATCH","CLEAN",""
"coleman-skydome-4-person","PASS","PASS","amzn.to (opaque)","200","MATCH","CLEAN",""
"corsair-dark-core","PASS","PASS","amzn.to (opaque)","200","MATCH","CLEAN",""
"corsair-k70-pro-tkl","PASS","PASS","amzn.to (opaque)","200","MATCH","CLEAN",""
"corsair-mm350","PASS","PASS","amzn.to (opaque)","200","MATCH","CLEAN",""
"cosori-pro-le-5-8-qt","PASS","PASS","amzn.to (opaque)","200","MATCH","CLEAN",""
"cuisinart-toa-60","PASS","PASS","amzn.to (opaque)","200","MATCH","CLEAN",""
"cuisinart-toa-70","PASS","PASS","amzn.to (opaque)","200","MATCH","CLEAN",""
"cuisinart-tob-40n","PASS","PASS","amzn.to (opaque)","200","MATCH","CLEAN",""
"delonghi-la-specialista-maestro","PASS","PASS","amzn.to (opaque)","200","MATCH","CLEAN",""
"dewalt-2100-psi-pressure-washer","PASS","PASS","amzn.to (opaque)","200","MATCH","CLEAN",""
"dewalt-60v-flexvolt-leaf-blower","PASS","PASS","amzn.to (opaque)","200","MATCH","CLEAN",""
"dreame-l10s-ultra","PASS","PASS","amzn.to (opaque)","200","MATCH","CLEAN",""
"echelon-ex5s","PASS","PASS","amzn.to (opaque)","200","MATCH","CLEAN",""
"ecobee-smart-thermostat-premium","PASS","PASS","amzn.to (opaque)","200","MATCH","CLEAN",""
"ego-power-lb6504","PASS","PASS","amzn.to (opaque)","200","MATCH","CLEAN",""
"epos-impact-1000","PASS","PASS","amzn.to (opaque)","200","MATCH","CLEAN",""
"eset-home-security-premium","PASS","PASS","amzn.to (opaque)","200","MATCH","CLEAN",""
"eset-internet-security","PASS","PASS","amzn.to (opaque)","200","MATCH","CLEAN",""
"eufy-auto-empty-c10","PASS","PASS","amzn.to (opaque)","200","MATCH","CLEAN",""
"eufy-boostiq-robovac-11s","PASS","PASS","clearpick06-20","200","MATCH","CLEAN",""
"eufy-l60","PASS","PASS","amzn.to (opaque)","200","MATCH","CLEAN",""
"eufy-security-video-doorbell-battery-powered","PASS","PASS","amzn.to (opaque)","200","MATCH","CLEAN",""
